,id,Latitude,Longitude
0,0,32.83722210988348,-117.16734608101282
1,1,32.74818726083849,-117.19654779151908
2,2,32.8322659476092,-117.18559636782734
3,3,32.80157957492412,-117.13926437127571
4,4,32.86478068351804,-117.15390596709692
5,5,32.79934002427337,-117.15839047324243
6,6,32.81432865417318,-117.14688401810204
7,7,32.81831541332781,-117.15846184731353
8,8,32.76479178808199,-117.15811312341128
9,9,32.77582766308299,-117.16605713268935
10,10,32.773437398535236,-117.14370568605719
11,11,32.918817078018,-117.16027656836316
12,12,32.84951964231006,-117.15374186599766
13,13,32.816311200801394,-117.16387588246265
14,14,32.825158657206096,-117.13962366806265
15,15,32.77711264855558,-117.13255070046374
16,16,32.86299498696309,-117.15603840590047
17,17,32.840015131133306,-117.11998028856141
18,18,32.75797792380519,-117.18571010734057
19,19,32.80467557905792,-117.16418729903202
20,20,32.8346669673834,-117.14492815538948
21,21,32.74588712936457,-117.13253547979515
22,22,32.86506476055324,-117.14837476616901
23,23,32.76193112763619,-117.11259156620704
24,24,32.77805575099069,-117.16387742533077
25,25,32.702810255226595,-117.17579214113024
26,26,32.88137729157546,-117.17520042616268
27,27,32.84376487544106,-117.1644259961262
28,28,32.822548548093216,-117.16812016529678
29,29,32.82684329842411,-117.10564840499525
30,30,32.89999956900086,-117.15641772346055
31,31,32.78742384079406,-117.18270820490525
32,32,32.81596952557345,-117.15119997399653
33,33,32.82652369702601,-117.16082054369735
34,34,32.80085294086222,-117.15594715765044
35,35,32.780495168227816,-117.19475011147196
36,36,32.795654718078474,-117.18339237530776
37,37,32.81930941433688,-117.17810362452869
38,38,32.83042304551616,-117.12874580488575
39,39,32.77073288435402,-117.15795357827973
40,40,32.82205936935797,-117.09192659446573
41,41,32.77488892971713,-117.12535349821933
42,42,32.837046155577355,-117.13934781465872
43,43,32.75143054197945,-117.16717956053013
44,44,32.82413207198567,-117.18782910450439
45,45,32.815604868443835,-117.13911439398336
46,46,32.81052259954427,-117.15175865555928
47,47,32.82004326916164,-117.13600685051641
48,48,32.79279544519415,-117.13197413547833
49,49,32.79806347661517,-117.13560594761914
50,50,32.77753383283884,-117.1629068416115
51,51,32.822525372374336,-117.16670648807836
52,52,32.819128238959635,-117.09034649316298
53,53,32.83889605608195,-117.17940704500197
54,54,32.75407280677269,-117.16182788165621
55,55,32.76310938130918,-117.13242321278906
56,56,32.780911224794124,-117.14722167649813
57,57,32.749239238063055,-117.17528448321549
58,58,32.759570763458704,-117.17151955703774
59,59,32.819264493647914,-117.14291829692294
60,60,32.794115102827035,-117.09684231431272
61,61,32.826206471282845,-117.12565034024668
62,62,32.75761979965289,-117.18072428597561
63,63,32.83532624320338,-117.13676367131174
64,64,32.72712942541001,-117.15109435239786
65,65,32.841236225114805,-117.18829178993252
66,66,32.84414496624117,-117.16092665715254
67,67,32.76075141342606,-117.17728290957623
68,68,32.810807012079536,-117.13598409996226
69,69,32.79320150870153,-117.16347333750804
70,70,32.78493851074629,-117.12702690911009
71,71,32.84503055924323,-117.15131843152952
72,72,32.84265947077263,-117.16607706666109
73,73,32.83007884883342,-117.13939515935282
74,74,32.74904665809656,-117.10768049026505
75,75,32.800333114568204,-117.1282316809831
76,76,32.78230916125263,-117.16637156769615
77,77,32.83787447759665,-117.10484210270049
78,78,32.87044864463841,-117.19129238400616
79,79,32.76452928188245,-117.15615436483105
80,80,32.76145892276143,-117.15847756944753
81,81,32.778116444429294,-117.13194155349495
82,82,32.8563016336998,-117.16709839709866
83,83,32.88560113528943,-117.21858913965164
84,84,32.72521415567189,-117.14951255802576
85,85,32.82496741968998,-117.1413339966172
86,86,32.86860337901195,-117.16209935239358
87,87,32.824885072531174,-117.15002659411338
88,88,32.76964805828678,-117.19448794571478
89,89,32.877078433548846,-117.17942480307612
90,90,32.86222562740114,-117.14033571288644
91,91,32.794918964226994,-117.15025017449896
92,92,32.831744377410025,-117.17562325553429
93,93,32.831746861531386,-117.18740420969921
94,94,32.80314301906631,-117.1616307034468
95,95,32.87557973987158,-117.16376804161848
96,96,32.75141067466602,-117.16061164682694
97,97,32.84432942152701,-117.14650522657548
98,98,32.77663080811728,-117.1251850329166
99,99,32.81174542031783,-117.1557547748258
